typ,einwohner,bundesland,Kreis,hc.key,lat,lon,weekly_cases,inzidenz.x,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+
Landkreis,97303,Bayern,Neuburg-Schrobenhausen,de-by-09185000,48.66442033,11.19721067,687,703.980354036632,10,201.897839693115,93,993.589743589744,196,874.453466583385,286,813.725211255584,88,443.682565291923,14,250.223413762288
Landkreis,128227,Bayern,Pfaffenhofen a.d. Ilm,de-by-09186000,48.59627518,11.52428271,847,655.938293786011,21,308.91438658429,115,947.281713344316,255,850.567044696464,337,712.428387205885,99,395.193804638537,20,287.562904385334
Landkreis,261330,Bayern,Rosenheim (Landkreis),de-by-09187000,47.87837975,12.16275398,2218,847.467341176291,37,293.907379458257,208,861.3549776379,689,1190.29109441133,861,928.351932718745,351,611.690077027639,71,428.200952897895
Landkreis,136667,Bayern,Starnberg,de-by-09188000,48.00604698,11.28173267,989,723.958714588976,21,334.661354581673,126,911.458333333333,249,907.665949768527,434,885.298737327377,128,423.322419552204,31,313.924050632911
Landkreis,177319,Bayern,Traunstein,de-by-09189000,47.89454276,12.57957507,1132,638.92723328732,21,255.567725447244,112,715.380684721512,334,849.246103384271,447,728.998483291746,186,462.640533280271,30,238.170847888218
Landkreis,135478,Bayern,Weilheim-Schongau,de-by-09190000,47.78753703,11.04833647,1086,797.743399885407,22,331.724969843185,112,874.590035920662,324,1098.23062843197,426,893.625055064924,154,516.882593810834,46,506.998787611595
Kreisfreie Stadt,73411,Bayern,Landshut (Stadt),de-by-09261000,48.54466998,12.15934165,435,595.360295627181,9,261.85627000291,59,953.150242326333,127,664.191203388944,153,603.05072720823,56,386.340117281821,31,646.237231603085
Kreisfreie Stadt,52803,Bayern,Passau (Stadt),de-by-09262000,48.5820984,13.41505042,290,553.27673375942,4,192.400192400192,26,708.833151581243,117,705.839768339768,92,575.971952670131,38,343.829171190735,13,376.266280752533
Kreisfreie Stadt,47791,Bayern,Straubing,de-by-09263000,48.88075448,12.57347487,415,871.629001092162,5,242.248062015504,34,899.470899470899,128,1087.60302489591,161,964.880738343522,77,743.386754199652,10,319.081046585833
Landkreis,119478,Bayern,Deggendorf,de-by-09271000,48.77870212,13.0007258,679,568.300705563321,13,247.90236460717,75,735.943479540771,228,806.53719622201,241,568.369416536956,102,389.669926650367,20,277.932184546971
Landkreis,78362,Bayern,Freyung-Grafenau,de-by-09272000,48.82685817,13.51321006,516,659.817497287984,4,121.065375302663,63,1006.55056718326,136,795.554255630301,207,743.10740953475,83,440.061502571444,23,461.199117706036
Landkreis,123058,Bayern,Kelheim,de-by-09273000,48.82494143,11.85755444,1061,859.875192479131,17,274.326286913022,133,1129.41576086957,292,1001.23439857358,410,920.541547856934,168,684.931506849315,41,598.190837467172
