owiddate,Deutschland,Afghanistan,Ägypten,Algerien,Angola,Argentinien,Aserbaidschan,Australien,Bangladesch,Belarus,Belgien,Bolivien,Brasilien,Bulgarien,Chile,China,Costa Rica,Dänemark,Dominikanische Republik,Ecuador,El Salvador,Elfenbeinküste,Finnland,Frankreich,Ghana,Griechenland,Großbritannien,Guatemala,Guinea,Honduras,Indien,Indonesien,Irak,Iran,Israel,Italien,Japan,Jordanien,Kanada,Kasachstan,Kenia,Kolumbien,Libanon,Malawi,Malaysia,Marokko,Mexiko,Mosambik,Nepal,Niederlande,Nigeria,Norwegen,Österreich,Pakistan,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russland,Saudi-Arabien,Schweden,Schweiz,Senegal,Serbien,Sierra Leone,Simbabwe,Singapur,Slowakei,Spanien,Sri Lanka,Südafrika,Sudan,Südkorea,Thailand,Togo,Tschechien,Tunesien,Türkei,Uganda,Ukraine,Ungarn,USA,Venezuela,Vereinigte Arabische Emirate,Vietnam,NA
2021-02-12,1438,,23,87,,426,896,,507,43,1775,68,1097,365,9769,829,564,1628,,9,,,1399,1625,,1678,6662,,,,267,292,,17,12529,1112,,180,680,64,,,,,,2757,29,,533,1786,,2265,1834,16,,848,,1705,1237,,1677,652,12,1529,1959,,6132,,,1826,1836,1342,150,,,,,,1348,,1446,,,1084,5045,,13067,,
2021-02-13,1454,,23,87,,429,991,,621,43,1801,63,1167,375,9782,734,582,1622,,9,,,1430,1648,,1713,6569,,,,238,296,,16,12751,1054,,180,725,59,,,,,,3622,18,,533,1768,,2256,1856,16,,782,,1753,1548,,1795,619,14,1561,1981,,7624,,,1917,1876,1363,174,,,,,,1367,,1898,,,1049,5050,,11755,,
2021-02-14,1474,,23,87,,345,991,,767,43,1783,59,1139,376,9750,640,600,1654,,9,,,1458,1654,,1770,6484,,,,258,301,,15,13083,1025,,180,743,54,,,7,,,4077,27,,533,1750,,2242,1808,16,,657,,1752,1773,,1901,586,16,1593,2154,,9115,,,2008,2154,1385,181,,,,,,1354,,2080,,,1009,5081,,10840,,
2021-02-15,1503,,23,87,,312,991,,900,43,1827,55,1143,380,9996,546,618,1836,,9,,,1464,1700,,1828,6326,,,,236,313,,14,13606,1016,,180,699,49,,,93,,,4532,36,,533,1772,,2256,1768,17,,607,,1670,2064,,1917,554,48,1670,2187,,9172,,,2099,2213,1388,165,,,,,,1358,,2599,,,1049,5064,,9843,,
2021-02-16,1508,,23,87,,312,991,0,1034,43,1666,51,1211,387,9681,452,547,1986,36,9,,,1462,1743,,1838,6245,,,,235,312,,11,14047,1027,,180,701,44,,,159,,,5049,214,,533,1793,,2240,1695,17,,552,,1717,2161,330,1970,521,79,1748,2234,,9229,,,2190,2121,1387,144,,,,,,1366,,3250,,,1134,5229,,9820,,
2021-02-17,1510,,23,87,,245,991,0,1094,43,1596,47,1193,404,8981,452,475,2078,64,9,,,1667,1760,,1921,6334,,,,227,263,,11,13967,1045,,180,666,39,,,216,,,5229,373,,533,1815,,2250,1658,17,,495,,1885,2181,330,1988,488,159,1825,2170,,9287,,,2281,2083,1403,221,19,,,,,1356,,4158,,,1375,5010,,8769,,
2021-02-18,1514,,23,87,,199,991,0,1207,43,1492,43,1218,397,8236,452,404,2168,165,27,186,,1723,1762,,2021,6248,,,,245,224,,16,13905,1080,4,180,645,34,,197,280,,,5397,664,,533,1836,,2255,1584,18,,377,,2119,2201,330,1998,488,239,1902,2225,,7986,,,2281,2015,1557,363,19,,,,,1329,,5221,,,1655,4939,1,8503,,
2021-02-19,1508,,23,87,,245,991,0,1193,43,1448,43,1245,605,7578,452,333,2051,237,45,186,,1871,1765,,2110,5901,,,,260,239,,21,13924,1125,19,180,693,34,,211,324,,,4897,950,,533,1858,,2359,1502,19,,364,,2219,2310,330,1989,488,304,1979,2222,,6686,,22,2331,1991,1572,554,37,,,,,1298,,5064,,,2118,4863,1,8262,,
2021-02-20,1519,,23,,,321,991,0,1179,43,1413,43,1143,676,7428,452,262,2138,244,62,186,,1968,1775,,2226,5552,,,,291,254,,26,13963,1185,19,180,756,34,,219,278,,,4202,1041,,533,1879,,2344,1544,20,,393,,2223,2320,330,1972,488,369,2056,2225,,5851,,22,2381,2052,1588,761,44,,,,,1278,,4835,,,2528,4634,1,8015,,
2021-02-21,1556,,23,,,352,991,0,1130,43,1416,43,1160,900,7403,452,191,2244,221,80,186,,2264,1768,,2088,5362,,,,293,262,,31,14185,1235,19,180,849,34,,198,277,,,3802,1065,,678,1901,,2346,1607,20,,389,,2231,2335,330,1957,488,435,2134,2198,,5016,,22,2431,1934,1604,979,53,,,,,1274,,4703,,,2761,4442,1,7298,,
